FECHA_GRUPO;A067_VALOR_(m);A067_VALOR_(m3/s);A067_VALOR_(l/m2)_x;A067_VALOR_(l/m2)_y;A067_VALOR_(l/m2);A152_VALOR_(m);A152_VALOR_(m3/s);A159_VALOR_(m);A159_VALOR_(m3/s);A159_VALOR_(l/m2)_x;A159_VALOR_(l/m2)_y;A159_VALOR_(l/m2);A313_VALOR_(m);A313_VALOR_(m3/s);A323_VALOR_(m);A323_VALOR_(m3/s)
2024-11-30 00:15:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 00:30:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 00:45:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 01:00:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 01:15:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 01:30:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 01:45:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 02:00:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 02:15:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 02:30:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 02:45:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 03:00:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 03:15:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 03:30:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 03:45:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 04:00:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,45;5,8;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 04:15:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,44;5,46;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 04:30:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 04:45:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,42;4,78;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 05:00:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,42;4,78;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 05:15:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,42;4,78;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 05:30:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,47;5,21;0,71;6,33
2024-11-30 05:45:00;0,32;2,76;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,71;6,33
2024-11-30 06:00:00;0,31;2,48;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,71;6,33
2024-11-30 06:15:00;0,31;2,48;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,45;4,65;0,71;6,33
2024-11-30 06:30:00;0,31;2,48;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,45;4,65;0,71;6,33
2024-11-30 06:45:00;0,31;2,48;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,45;4,65;0,71;6,33
2024-11-30 07:00:00;0,31;2,48;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,45;4,65;0,71;6,33
2024-11-30 07:15:00;0,31;2,48;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,71;6,33
2024-11-30 07:30:00;0,31;2,48;0,0;0,0;0,0;0,24;2,58;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,71;6,33
2024-11-30 07:45:00;0,31;2,48;0,0;0,0;0,0;0,23;2,41;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,7;5,7
2024-11-30 08:00:00;0,31;2,48;0,0;0,0;0,0;0,2;1,91;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,7;5,7
2024-11-30 08:15:00;0,31;2,48;0,0;0,0;0,0;0,23;2,41;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,7;5,7
2024-11-30 08:30:00;0,31;2,48;0,0;0,0;0,0;0,23;2,41;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,7;5,7
2024-11-30 08:45:00;0,31;2,48;0,0;0,0;0,0;0,23;2,41;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,7;5,7
2024-11-30 09:00:00;0,31;2,48;0,0;0,0;0,0;0,23;2,41;0,43;5,12;0,0;0,0;0,0;0,46;4,93;0,7;5,7
2024-11-30 09:15:00;0,31;2,48;0,0;0,0;0,0;0,23;2,41;0,43;5,12;0,0;0,0;0,0;0,47;5,21;0,7;5,7
2024-11-30 09:30:00;0,31;2,48;0,0;0,0;0,0;0,23;2,41;0,43;5,12;0,0;0,0;0,0;0,47;5,21;0,7;5,7
2024-11-30 09:45:00;0,31;2,48;0,0;0,0;0,0;0,23;2,41;0,43;5,12;0,0;0,0;0,0;0,47;5,21;0,71;6,33
